HSCode,Commodity,value,country,year
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.38,SOUTH AFRICA,2018
74,COPPER AND ARTICLES THEREOF.,12.75,SPAIN,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2.24,SPAIN,2018
74,COPPER AND ARTICLES THEREOF.,31.28,SRI LANKA DSR,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.05,SRI LANKA DSR,2018
74,COPPER AND ARTICLES THEREOF.,0.03,ST LUCIA,2018
74,COPPER AND ARTICLES THEREOF.,0.86,SUDAN,2018
74,COPPER AND ARTICLES THEREOF.,0.02,SURINAME,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.01,SWAZILAND,2018
74,COPPER AND ARTICLES THEREOF.,22.34,SWEDEN,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.64,SWEDEN,2018
74,COPPER AND ARTICLES THEREOF.,169.59,SWITZERLAND,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.26,SWITZERLAND,2018
74,COPPER AND ARTICLES THEREOF.,28.59,TAIWAN,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.07,TAIWAN,2018
74,COPPER AND ARTICLES THEREOF.,116.32,TANZANIA REP,2018
74,COPPER AND ARTICLES THEREOF.,312.79,THAILAND,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",6.15,THAILAND,2018
74,COPPER AND ARTICLES THEREOF.,4.61,TOGO,2018
74,COPPER AND ARTICLES THEREOF.,0.05,TRINIDAD,2018
74,COPPER AND ARTICLES THEREOF.,0.73,TUNISIA,2018
74,COPPER AND ARTICLES THEREOF.,3.17,TURKEY,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2.83,TURKEY,2018
74,COPPER AND ARTICLES THEREOF.,743.97,U ARAB EMTS,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",238.56,U ARAB EMTS,2018
74,COPPER AND ARTICLES THEREOF.,82.51,U K,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",162.56,U K,2018
74,COPPER AND ARTICLES THEREOF.,212.29,U S A,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",1479.24,U S A,2018
74,COPPER AND ARTICLES THEREOF.,0,UKRAINE,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.2,UKRAINE,2018
74,COPPER AND ARTICLES THEREOF.,0.08,UNSPECIFIED,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.06,UNSPECIFIED,2018
74,COPPER AND ARTICLES THEREOF.,0.15,URUGUAY,2018
74,COPPER AND ARTICLES THEREOF.,0.16,UZBEKISTAN,2018
74,COPPER AND ARTICLES THEREOF.,488.81,VIETNAM SOC REP,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.24,VIETNAM SOC REP,2018
74,COPPER AND ARTICLES THEREOF.,418.97,ZAMBIA,2018
74,COPPER AND ARTICLES THEREOF.,1.42,ANGOLA,2017
74,COPPER AND ARTICLES THEREOF.,0.01,ARGENTINA,2017
74,COPPER AND ARTICLES THEREOF.,0.14,ARMENIA,2017
74,COPPER AND ARTICLES THEREOF.,5.61,AUSTRALIA,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",1.59,AUSTRALIA,2017
74,COPPER AND ARTICLES THEREOF.,5.39,AUSTRIA,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",74.82,AUSTRIA,2017
74,COPPER AND ARTICLES THEREOF.,0.01,BAHAMAS,2017
74,COPPER AND ARTICLES THEREOF.,10.26,BAHARAIN IS,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.12,BAHARAIN IS,2017
74,COPPER AND ARTICLES THEREOF.,20.25,BANGLADESH PR,2017
74,COPPER AND ARTICLES THEREOF.,8.89,BELGIUM,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",2.13,BELGIUM,2017
74,COPPER AND ARTICLES THEREOF.,7.88,BENIN,2017
74,COPPER AND ARTICLES THEREOF.,1.11,BHUTAN,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.01,BHUTAN,2017
74,COPPER AND ARTICLES THEREOF.,0.11,BOLIVIA,2017
74,COPPER AND ARTICLES THEREOF.,0.19,BOTSWANA,2017
74,COPPER AND ARTICLES THEREOF.,5.58,BRAZIL,2017
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",464.33,BRAZIL,2017
